Text,Output
A couple where one person is an archaeologist and the other is not.,special-marriage
A couple where one person is a historian and the other is not.,special-marriage
A couple where one person is a geologist and the other is not.,special-marriage
A couple where one person is an economist and the other is not.,special-marriage
A couple where one person is a business owner and the other is an employee.,special-marriage
A couple where one person is a CEO and the other is a manager.,special-marriage
A couple where one person is a fashion model and the other is a stylist.,special-marriage  
A couple where one person is a chef and the other is a food blogger.,special-marriage
A couple where one person is a travel blogger and the other is not.,special-marriage
A couple where one person is a flight attendant and the other is not.,special-marriage
A couple where one person is a police officer and the other is a forensic scientist.,special-marriage
A couple where one person is a journalist and the other is a photographer.,special-marriage
Adultery by either spouse.,indian-divorce
Desertion for at least two years.,indian-divorce
Conversion to another religion.,indian-divorce
Insanity and confinement for at least two years.,indian-divorce
Cruelty both mental and physical.,indian-divorce
Communicable diseases and refusal to cohabit.,indian-divorce
Renunciation of the world.,indian-divorce
Missing for at least seven years.,indian-divorce
Venereal disease in a communicable form.,indian-divorce
Lack of consummation of the marriage.,indian-divorce
Incurable impotency.,indian-divorce
Repudiation of the wife's religion by the husband.,indian-divorce
Failure to provide maintenance.,indian-divorce
Habitual drunkenness or drug addiction.,indian-divorce
Imprisonment for at least seven years.,indian-divorce
Bigamy or polygamy.,indian-divorce
Incestuous marriages.,indian-divorce
Presumed death of a spouse.,indian-divorce
Incompatibility or irretrievable breakdown of marriage.,indian-divorce
Non-resumption of cohabitation after a decree of judicial separation.,indian-divorce
Failure to comply with a restitution of conjugal rights decree.,indian-divorce
Violation of a judicial separation order.,indian-divorce
Abuse or violence within the marriage.,indian-divorce
Neglect and abandonment.,indian-divorce
Mental cruelty including emotional abuse.,indian-divorce
Economic abuse and financial neglect.,indian-divorce
Psychological abuse and manipulation.,indian-divorce
Sexual harassment within the marriage.,indian-divorce
Emotional neglect and abandonment.,indian-divorce
Lack of emotional support and understanding.,indian-divorce
Marital rape.,indian-divorce
Lack of communication and trust.,indian-divorce
Constant arguments and conflicts.,indian-divorce
Different life goals and priorities.,indian-divorce
Lack of intimacy and affection.,indian-divorce
Infertility or reproductive issues.,indian-divorce
Incompatibility in terms of interests and hobbies.,indian-divorce
Financial disputes and irresponsibility.,indian-divorce
Jealousy and possessiveness.,indian-divorce
In-law interference and disputes.,indian-divorce
Differences in religious beliefs.,indian-divorce
Parenting conflicts and disagreements.,indian-divorce
Emotional affairs outside the marriage.,indian-divorce
Substance abuse and addiction problems.,indian-divorce
Physical abuse and violence.,indian-divorce
Neglect of children.,indian-divorce
Spousal negligence leading to accidents or harm.,indian-divorce
Lack of emotional and physical support during illness.,indian-divorce  
Lack of care and support during pregnancy and childbirth.,indian-divorce
Abandonment during a partner's critical illness.,indian-divorce
Lack of respect and consideration.,indian-divorce
Non-disclosure of prior marriages or children.,indian-divorce
Dishonesty and deceit.,indian-divorce
Infidelity discovered through technology or social media.,indian-divorce
Cyberbullying within the marriage.,indian-divorce
Lack of shared values and goals.,indian-divorce
Financial infidelity or hidden debts.,indian-divorce
Disagreements over living arrangements.,indian-divorce
Violation of prenuptial agreements.,indian-divorce
Inability to agree on major life decisions.,indian-divorce
Addiction to gambling or other vices.,indian-divorce  
Control and manipulation within the marriage.,indian-divorce
Cultural clashes and differences.,indian-divorce
Discrimination or prejudice within the marriage.,indian-divorce
Spousal interference in career or personal life.,indian-divorce
Lack of support for career aspirations.,indian-divorce
Differences in social circles and friends.,indian-divorce
Non-fulfillment of promises or commitments.,indian-divorce
Emotional distance and neglect.,indian-divorce  
Lack of sexual compatibility.,indian-divorce
Unresolved jealousy or trust issues.,indian-divorce
Infidelity during a long-distance relationship.,indian-divorce
Extended periods of separation.,indian-divorce
Lack of appreciation and gratitude.,indian-divorce
Lack of involvement in household chores.,indian-divorce
Differences in child-rearing philosophies.,indian-divorce
Disagreements over extended family responsibilities.,indian-divorce
Violation of boundaries and privacy.,indian-divorce
Emotional abuse through manipulation.,indian-divorce  
Lack of emotional validation and appreciation.,indian-divorce
Unwillingness to seek therapy or counseling.,indian-divorce
Emotional withdrawal or detachment.,indian-divorce
Verbal abuse and name-calling.,indian-divorce
Lack of physical affection or intimacy.,indian-divorce
Sexual incompatibility or dissatisfaction.,indian-divorce
Differences in sexual preferences.,indian-divorce
Lack of commitment and loyalty.,indian-divorce
Financial disagreements regarding spending habits.,indian-divorce
Disagreements over family planning.,indian-divorce  
Mismatched values regarding gender roles.,indian-divorce
Disapproval of each other's friends.,indian-divorce
Lack of cooperation in daily responsibilities.,indian-divorce
Unresolved conflicts from the past.,indian-divorce
Different opinions on lifestyle choices.,indian-divorce
Mismatched ambitions and life goals.,indian-divorce
Resentment over career sacrifices.,indian-divorce
Inability to forgive past mistakes.,indian-divorce
Emotional instability or mood swings.,indian-divorce
Lack of self-care or self-improvement efforts.,indian-divorce  
Breach of marital agreements or contracts.,indian-divorce
A Muslim man wants to marry a Muslim woman.,muslim-personal-law
A Muslim woman wants to marry a non-Muslim man.,muslim-personal-law
A Muslim man wishes to have multiple wives.,muslim-personal-law  
A Muslim woman seeks a divorce due to her husband's infidelity.,muslim-personal-law
A Muslim man and woman wish to marry without the consent of their parents.,muslim-personal-law
A Muslim woman seeks to marry without a guardian's consent.,muslim-personal-law
A Muslim couple wants to enter into a prenuptial agreement.,muslim-personal-law
A Muslim woman desires a marriage contract that stipulates certain conditions.,muslim-personal-law
A Muslim couple wants to have an Islamic wedding ceremony.,muslim-personal-law
A Muslim man wants to marry a divorcee.,muslim-personal-law
A Muslim woman wishes to marry a convert to Islam.,muslim-personal-law
A Muslim couple faces issues with their dowry (mahr) arrangement.,muslim-personal-law
A Muslim man wants to initiate a divorce (talaq).,muslim-personal-law
A Muslim woman wants to initiate a divorce.,muslim-personal-law
A couple seeks arbitration before finalizing their divorce.,muslim-personal-law  
A husband refuses to grant his wife a divorce.,muslim-personal-law
A woman seeks a khula a divorce initiated by the wife.,muslim-personal-law
A couple wants to reconcile after initiating divorce proceedings.,muslim-personal-law
A husband has financial obligations towards his ex-wife.,muslim-personal-law
A divorced woman is seeking custody of her children.,muslim-personal-law
A man is facing issues with paying alimony (nafaqah) after divorce.,muslim-personal-law
A divorced couple disagrees on property distribution.,muslim-personal-law
A Muslim man wants to write his will according to Islamic inheritance laws.,muslim-personal-law
A family is disputing the distribution of their deceased parent's estate.,muslim-personal-law
A man has no direct male heirs; how should his estate be divided?,muslim-personal-law
A daughter claims her share in her father's inheritance.,muslim-personal-law
A husband and wife have different views on how to distribute their assets.,muslim-personal-law
A Muslim converts to Islam and wants to redistribute their inheritance.,muslim-personal-law
A family is considering adoption and its compatibility with Islamic law.,muslim-personal-law
A man wants to take on a second wife but is worried about the impact on his first wife.,muslim-personal-law
A parent is struggling with the choice of naming their child according to Islamic traditions.,muslim-personal-law
A family disputes over the guardianship of a child after the death of the parents.,muslim-personal-law
A couple seeks counseling to improve their marital relationship.,muslim-personal-law
A father is considering circumcision for his son.,muslim-personal-law
A woman wants to know her rights and responsibilities during pregnancy and childbirth.,muslim-personal-law
A Muslim is accused of theft and faces hadd punishment.,muslim-personal-law
A case involving zina (adultery) accusations is brought to court.,muslim-personal-law
A person is accused of false testimony (qadhf) regarding zina.,muslim-personal-law
A family seeks justice for a murder according to qisas.,muslim-personal-law
A person is accused of false accusations (qazf) against another.,muslim-personal-law
A Muslim is concerned about halal and haram dietary choices.,muslim-personal-law
A person wants guidance on Islamic etiquette and manners.,muslim-personal-law
A woman is unsure about wearing the hijab.,muslim-personal-law
A Muslim is facing ethical dilemmas in a business transaction.,muslim-personal-law
A man is unsure how to perform wudu (ablution) properly.,muslim-personal-law
A student is concerned about balancing religious obligations with their education.,muslim-personal-law
A person seeks guidance on Islamic principles in end-of-life decisions.,muslim-personal-law
A family is dealing with the etiquette of attending a funeral.,muslim-personal-law
Inheritance passes to the spouse by default.,succession-laws
Inheritance is divided equally among all surviving children.,succession-laws
Inheritance goes to the oldest child.,succession-laws
In the absence of children inheritance goes to the deceased's parents.,succession-laws
The surviving spouse and children share the inheritance.,succession-laws
Only blood relatives can inherit.,succession-laws
Adoption is treated the same as biological children.,succession-laws
The surviving spouse gets a fixed percentage and the rest is divided among the children.,succession-laws
Inheritance goes to the closest living relative.,succession-laws
The deceased's will specifies the distribution of assets.,succession-laws
The surviving spouse has the first claim on the estate.,succession-laws
Inheritance is subject to estate taxes.,succession-laws
Inheritance laws are different for real estate and personal property.,succession-laws
Stepchildren have no legal claim to the estate.,succession-laws
Grandchildren inherit if their parents are deceased.,succession-laws
Inheritance may skip a generation.,succession-laws
Illegitimate children have rights in some jurisdictions.,succession-laws
Inheritance is based on the total value of the estate.,succession-laws
Unmarried partners have no automatic inheritance rights.,succession-laws
Inheritance laws differ for joint property.,succession-laws
Half-siblings may have different inheritance rights.,succession-laws
Estranged family members can still inherit.,succession-laws
Some assets bypass probate and go directly to beneficiaries.,succession-laws
Charitable organizations can be named as beneficiaries.,succession-laws
Inheritance can be subject to a time limit.,succession-laws
Business partners may have a stake in a business's succession.,succession-laws
Foreign nationals may have different inheritance rights.,succession-laws
Trusts can be set up to control inheritance distribution.,succession-laws
Inheritance can be contested in court.,succession-laws
Life insurance policies have their own beneficiaries.,succession-laws
Siblings have equal rights to inheritance.,succession-laws
A surviving spouse may inherit the family home.,succession-laws
Personal belongings may have sentimental value but limited monetary worth.,succession-laws
Inheritance laws can change over time.,succession-laws
Posthumously born children may inherit.,succession-laws
Guardianship of minor heirs can be designated in a will.,succession-laws
Relatives adopted after a will was created may be excluded.,succession-laws
Inheritance can be used to settle debts.,succession-laws
In some places common-law marriage grants inheritance rights.,succession-laws
Family estrangement can lead to disinheritance.,succession-laws
Biological parentage can be legally established.,succession-laws
Inheritance laws can be complex for blended families.,succession-laws
Inheritance may be challenged on grounds of mental capacity.,succession-laws
In some cultures customary practices govern succession.,succession-laws
Divorced spouses may still be named in a will.,succession-laws
Same-sex partners may have inheritance rights.,succession-laws
The deceased's debts can reduce the estate's value.,succession-laws
Specific assets can be left to specific individuals.,succession-laws
Inheritance disputes can result in lengthy legal battles.,succession-laws
Inheritance rights can be waived or disclaimed.,succession-laws
Children born out of wedlock may need to be legally recognized.,succession-laws
In some cases distant relatives inherit.,succession-laws
Cohabitating partners may not be recognized as legal heirs.,succession-laws
The deceased's nationality can affect inheritance laws.,succession-laws
Religion may influence succession customs.,succession-laws
Inheritance laws can vary between states within a country.,succession-laws
In some places parents can disinherit their children.,succession-laws
Inheritance may be subject to income tax.,succession-laws
Heirs may need to meet certain conditions to inherit.,succession-laws
In some cases assets go to the closest living relative of the same bloodline.,succession-laws
The deceased's spouse may receive a lifetime interest in certain assets.,succession-laws
Estates may need to go through a lengthy probate process.,succession-laws
Inheritance laws can be influenced by cultural norms.,succession-laws
Digital assets may be included in inheritance laws.,succession-laws
Guardianship of minor children can be addressed in a will.,succession-laws
Assets in a trust are not always part of the probate process.,succession-laws
Inheritance laws can be different for state and federal property.,succession-laws
Inheritance may be used to fund charitable foundations.,succession-laws  
The deceased's mental state at the time of creating a will can be legally relevant.,succession-laws
The deceased's wishes as expressed in a will generally take precedence.,succession-laws
Children born through surrogacy or assisted reproduction may have inheritance rights.,succession-laws
Businesses can have their own succession plans.,succession-laws
Disinheriting a spouse may not always be possible.,succession-laws
In some cases the surviving spouse may receive a family allowance.,succession-laws
The deceased's debts may be paid from the estate before distribution to heirs.,succession-laws
Inheritance may be divided into fractions for multiple beneficiaries.,succession-laws
Inheritance laws may be subject to federal and state regulations.,succession-laws
Specific bequests can be made in a will.,succession-laws
Inheritance can be used to create trusts for minor beneficiaries.,succession-laws  
Inheritance may be subject to court fees.,succession-laws
In some cultures the extended family has a claim to inheritance.,succession-laws
In some jurisdictions only certain individuals can be named as executors.,succession-laws
The deceased's financial assets may be used to settle outstanding bills.,succession-laws 
Naming contingent beneficiaries in a will is common.,succession-laws
Pretermitted heirs (those born after a will is made) may still inherit.,succession-laws
In some cases unmarried partners may need to prove their relationship.,succession-laws
Pets may have specific provisions in a will.,succession-laws
Custody of pets may be addressed in a will.,succession-laws
Business succession plans can involve buy-sell agreements.,succession-laws
Estate planning can help minimize tax liabilities.,succession-laws
Inheritance laws may have exceptions for military personnel.,succession-laws
Life insurance payouts are not always subject to inheritance laws.,succession-laws
Disinherited heirs may challenge a will on grounds of undue influence.,succession-laws  
Changes in inheritance laws may affect existing wills.,succession-laws 
In some cases heirs may need to pay an inheritance tax.,succession-laws
Estates may be used to settle charitable bequests.,succession-laws
Inheritance can be subject to gift tax.,succession-laws
Inheritance laws may be subject to public policy restrictions.,succession-laws
In some cases multiple wills may exist.,succession-laws
The deceased's intentions as expressed in a valid will are generally upheld in court.,succession-laws
Inheritance of a father's property by his sons and daughters.,hindu-succession-act
Inheritance by a widow in the absence of sons or daughters.,hindu-succession-act
Inheritance by a widow in the presence of sons and daughters.,hindu-succession-act
Rights of a son in ancestral property.,hindu-succession-act  
Rights of a daughter in ancestral property.,hindu-succession-act
Inheritance of self-acquired property by a Hindu male.,hindu-succession-act
Inheritance of self-acquired property by a Hindu female.,hindu-succession-act
Inheritance of property by adopted children.,hindu-succession-act
Partition of joint family property.,hindu-succession-act
Inheritance when there is no male lineal descendant.,hindu-succession-act
Inheritance when there is no female lineal descendant.,hindu-succession-act
Inheritance in cases of intestate succession.,hindu-succession-act
Succession to a deceased daughter's property.,hindu-succession-act
Succession to a pre-deceased son's property.,hindu-succession-act
Rights of a mother in her son's property.,hindu-succession-act
Rights of a mother in her daughter's property.,hindu-succession-act  
Inheritance in cases of simultaneous deaths.,hindu-succession-act
Rights of a daughter-in-law in her husband's property.,hindu-succession-act
Inheritance by a coparcener's son in a joint Hindu family.,hindu-succession-act
Rights of a daughter born before or after the Act.,hindu-succession-act
Inheritance in the case of a Hindu convert.,hindu-succession-act
Rights of a Hindu widow to claim maintenance.,hindu-succession-act
Succession to the property of a predeceased son.,hindu-succession-act
Inheritance of property when the deceased had no widow.,hindu-succession-act
Rights of a daughter in partitioned ancestral property.,hindu-succession-act  
Inheritance of property by illegitimate children.,hindu-succession-act
Rights of children of a predeceased daughter.,hindu-succession-act
Succession in the case of an undivided interest in joint family property.,hindu-succession-act
Inheritance in cases of posthumous child's birth.,hindu-succession-act
Rights of a daughter in cases of partial partition.,hindu-succession-act
Inheritance when a coparcener leaves behind a widow.,hindu-succession-act
Rights of a father in the property of a predeceased son.,hindu-succession-act
Succession when a person is disqualified due to conversion.,hindu-succession-act
Rights of adopted children when they have biological children.,hindu-succession-act  
Inheritance when a Hindu woman marries a non-Hindu.,hindu-succession-act
Rights of a Hindu widow in her deceased husband's self-acquired property.,hindu-succession-act
Inheritance in cases of a widow's remarriage.,hindu-succession-act
Succession to the property of a Hindu convert who reconverts.,hindu-succession-act
Rights of a widow to claim her husband's property when there is no will.,hindu-succession-act
Inheritance in cases of dual citizenship of a Hindu.,hindu-succession-act
Rights of a widow to claim her husband's property when there is a will.,hindu-succession-act
Inheritance when a person converts to another religion.,hindu-succession-act
Rights of children when their parents are separated.,hindu-succession-act
Inheritance in the case of a Hindu who dies without heirs.,hindu-succession-act  
Rights of a daughter when there is no male issue.,hindu-succession-act
Inheritance of property when there is a dispute about the date of death.,hindu-succession-act
Rights of a Hindu widow when she remarries a Hindu.,hindu-succession-act
Inheritance in cases of inheritance through a will.,hindu-succession-act
Rights of children born out of a void or voidable marriage.,hindu-succession-act
Inheritance of property when the marriage is annulled.,hindu-succession-act
Rights of a daughter-in-law in her in-law's property.,hindu-succession-act
Inheritance in cases of mental incapacity of heirs.,hindu-succession-act
Rights of a widow to claim her husband's property when there is a legal dispute.,hindu-succession-act
Inheritance when there is a dispute about the deceased's domicile.,hindu-succession-act  
Rights of a married daughter in her parental property.,hindu-succession-act
Inheritance in the case of a Hindu who dies while living abroad.,hindu-succession-act
Rights of a daughter when there is a dispute about her legitimacy.,hindu-succession-act
Inheritance of property when there is a conflict over the cause of death.,hindu-succession-act
Rights of a Hindu widow to claim her husband's property from his coparceners.,hindu-succession-act
Inheritance in cases of partition of joint family property.,hindu-succession-act
Rights of a Hindu widow in her deceased husband's property when there is a compromise.,hindu-succession-act
Inheritance when there is a dispute about the deceased's religion.,hindu-succession-act  
Rights of a married daughter when her husband is disqualified.,hindu-succession-act
Inheritance of property when there is a dispute about the validity of a will.,hindu-succession-act
Rights of a daughter-in-law when she has children from a previous marriage.,hindu-succession-act
Inheritance in cases of an unregistered will.,hindu-succession-act
Rights of a widow in her husband's property when he had multiple wives.,hindu-succession-act
Inheritance when there is a dispute about the ownership of property.,hindu-succession-act
Rights of a Hindu widow when there is a conflict over her marital status.,hindu-succession-act
Inheritance in cases of inter-caste marriage.,hindu-succession-act  
Rights of a widow in her deceased husband's property when there is a challenge to her marriage.,hindu-succession-act
Inheritance when there is a dispute about the deceased's citizenship.,hindu-succession-act
Rights of a married daughter in cases of a void marriage.,hindu-succession-act
Inheritance of property when there is a dispute about the deceased's sanity.,hindu-succession-act
Rights of a daughter-in-law when there is a dispute about the validity of her marriage.,hindu-succession-act 
Inheritance in cases of inheritance by a non-Hindu.,hindu-succession-act
Rights of a widow in her husband's property when she had children from another man.,hindu-succession-act
Inheritance when there is a dispute about the parentage of the deceased.,hindu-succession-act
Rights of a Hindu widow in her deceased husband's property when there is a claim by an illegitimate child.,hindu-succession-act
Inheritance in cases of inheritance by a person with a terminal illness.,hindu-succession-act
Rights of a married daughter when her husband has abandoned her.,hindu-succession-act
Inheritance of property when there is a dispute about the jurisdiction of the court.,hindu-succession-act
Rights of a widow in her husband's property when she had children from another man.,hindu-succession-act
Inheritance when there is a dispute about the deceased's mental capacity at the time of making a will.,hindu-succession-act
Rights of a Hindu widow to claim her husband's property when there is a dispute about the legitimacy.,hindu-succession-act
A husband pronounces "triple talaq" to his wife via a text message.,muslim-women-protection-divorce-act
A husband verbally pronounces "triple talaq" to his wife in a fit of anger.,muslim-women-protection-divorce-act
A husband sends a written declaration of "triple talaq" to his wife.,muslim-women-protection-divorce-act
A husband declares "triple talaq" to his wife over a phone call.,muslim-women-protection-divorce-act
A husband announces "triple talaq" on a social media platform.,muslim-women-protection-divorce-act
A husband pronounces "triple talaq" without undergoing the mandatory arbitration process.,muslim-women-protection-divorce-act
A husband gives "triple talaq" without any reasonable cause.,muslim-women-protection-divorce-act
A divorced wife is denied maintenance by her husband.,muslim-women-protection-divorce-act
The husband fails to make a reasonable attempt at reconciliation after pronouncing "triple talaq.",muslim-women-protection-divorce-act
The husband does not provide a written notice of the talaq to the wife and the relevant authority.,muslim-women-protection-divorce-act
The divorced wife is denied her right to reside in the shared marital home.,muslim-women-protection-divorce-act
The wife is subjected to "triple talaq" pronounced by her husband's relatives or associates.,muslim-women-protection-divorce-act
The husband fails to pay the mehr (dower) or any financial settlement agreed upon during the marriage.,muslim-women-protection-divorce-act
 A pregnant wife is given "triple talaq.",muslim-women-protection-divorce-act
A dispute arises over the custody of children following a "triple talaq.",muslim-women-protection-divorce-act
The husband forces his wife to accept "triple talaq" against her will.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" when the wife is seriously ill and unable to defend her rights.,muslim-women-protection-divorce-act
The husband refuses to provide maintenance for the children after divorce.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" without notifying the arbitrating body.,muslim-women-protection-divorce-act
The husband exploits the wife financially after the divorce.,muslim-women-protection-divorce-act
The husband uses both verbal and written declarations of "triple talaq.",muslim-women-protection-divorce-act
The husband's family refuses to return the dowry or valuables received at the time of marriage.,muslim-women-protection-divorce-act
The wife is abandoned without financial support after the talaq.,muslim-women-protection-divorce-act
The husband denies the wife her rightful child custody rights.,muslim-women-protection-divorce-act
"The husband pronounces ""triple talaq"" while residing abroad, affecting the wife's rights in India.",muslim-women-protection-divorce-act
Interference by In-Laws: In-laws interfere with the divorced wife's rights and well-being.,muslim-women-protection-divorce-act
"The husband practices polygamy immediately after the divorce, without proper legal procedures.",muslim-women-protection-divorce-act
The wife's right to witness the talaq declaration is denied.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" while the wife is menstruating.,muslim-women-protection-divorce-act
The husband declares "triple talaq" during the postnatal period.,muslim-women-protection-divorce-act
The husband abandons the wife without providing any maintenance.,muslim-women-protection-divorce-act
The husband refuses to provide maintenance to the wife during her iddah (waiting) period.,muslim-women-protection-divorce-act
The husband does not seek the wife's consent before pronouncing "triple talaq.",muslim-women-protection-divorce-act
The wife is abducted or taken away by force by the husband or his relatives after the divorce.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" due to the wife's medical condition or disability.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" while the wife is away from home or traveling.,muslim-women-protection-divorce-act
The wife is not provided with a formal notice of the talaq.,muslim-women-protection-divorce-act
The husband falsely accuses the wife of adultery as a pretext for "triple talaq.",muslim-women-protection-divorce-act
A dispute arises over the division of property after divorce.,muslim-women-protection-divorce-act
The husband's family refuses to return the wife's streedhan (gifts and property) after the talaq.,muslim-women-protection-divorce-act
A custody battle ensues between the divorced couple for unmarried daughters.,muslim-women-protection-divorce-act
The husband and wife dispute custody rights for their minor sons.,muslim-women-protection-divorce-act
The wife is denied the right to work and earn a livelihood after the talaq.,muslim-women-protection-divorce-act
 The wife's inheritance rights are unjustly deprived after the talaq,muslim-women-protection-divorce-act
The husband fails to provide maintenance for the wife's dependent in-laws.,muslim-women-protection-divorce-act
The husband makes a false declaration of "triple talaq" with the intent to deceive.,muslim-women-protection-divorce-act
"The wife is subjected to threats, harassment, or physical violence after the talaq.",muslim-women-protection-divorce-act
The husband refuses to acknowledge or document the talaq.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" due to the wife's pursuit of education or career.,muslim-women-protection-divorce-act
The husband pronounces "triple talaq" during the wife's menopausal period.,muslim-women-protection-divorce-act
A Parsi couple wishes to register their marriage under this act.,parsi-marriage-divorce-act
"A Parsi individual intends to marry a person of a different faith, and they seek to do so under this act.",parsi-marriage-divorce-act
A Parsi person wishes to marry without converting to their partner's religion.,parsi-marriage-divorce-act
A dispute arises over the validity or authenticity of the Parsi marriage ceremony.,parsi-marriage-divorce-act
Concerns emerge about the minimum age for Parsi marriage under the act.,parsi-marriage-divorce-act
A couple experiences difficulties in registering their marriage under the act.,parsi-marriage-divorce-act
A Parsi couple wishes to dissolve their marriage contract legally.,parsi-marriage-divorce-act
A Parsi husband and wife mutually agree to divorce and seek the legal process outlined in the act.,parsi-marriage-divorce-act
One spouse alleges cruelty or adultery as grounds for divorce under the act.,parsi-marriage-divorce-act
"A spouse has been abandoned or deserted, and they wish to initiate divorce proceedings.",parsi-marriage-divorce-act
A divorced Parsi wife seeks maintenance from her former husband.,parsi-marriage-divorce-act
A dispute arises regarding the custody of children after divorce.,parsi-marriage-divorce-act
There is a delay in the legal process of granting a divorce under the act.,parsi-marriage-divorce-act
"A husband marries another person without following the legal procedures outlined in the act, causing a dispute.",parsi-marriage-divorce-act
A dispute arises over the return of streedhan during divorce.,parsi-marriage-divorce-act
A disagreement occurs regarding the amount of alimony or maintenance to be provided to the divorced spouse.,parsi-marriage-divorce-act
One spouse falsely accuses the other of misconduct during divorce proceedings.,parsi-marriage-divorce-act
A party seeks a formal notification or certificate of divorce under the act.,parsi-marriage-divorce-act
A dispute arises over the division of property after divorce.,parsi-marriage-divorce-act
Disagreement arises regarding child support and financial responsibilities after divorce.,parsi-marriage-divorce-act
"A Parsi spouse converts to another religion, leading to issues related to the dissolution of the Parsi marriage.",parsi-marriage-divorce-act
A Parsi couple residing abroad wishes to divorce under the act.,parsi-marriage-divorce-act
One party claims that the divorce was obtained through fraudulent means.,parsi-marriage-divorce-act
"Family or third parties interfere in divorce proceedings, affecting the legal process.",parsi-marriage-divorce-act
"A Parsi wife seeks divorce while pregnant, leading to unique circumstances.",parsi-marriage-divorce-act
One spouse alleges the other's mental incapacity as a ground for divorce.,parsi-marriage-divorce-act
One party is denied a certificate of divorce under the act.,parsi-marriage-divorce-act
Divorce leads to disputes over inheritance and property rights.,parsi-marriage-divorce-act
"A Parsi individual converts to another religion after divorce, raising legal questions.",parsi-marriage-divorce-act
"Divorce proceedings involve minor children, and the act's provisions regarding child custody are relevant.",parsi-marriage-divorce-act
A parent appoints a guardian for their child through a will.,guardians-wards-act
A parent appoints a guardian for their child through a deed.,guardians-wards-act
"In a joint family, a guardian is appointed for a minor child when the parent(s) are not present or capable of providing care.",guardians-wards-act
The court appoints a guardian for a minor when it deems it necessary for the child's welfare.,guardians-wards-act
A guardian is appointed for an unborn child in anticipation of the birth of the child.,guardians-wards-act
"When parents cannot agree on the appointment of a guardian, the court intervenes to decide.",guardians-wards-act
A guardian is removed for misconduct or neglect of the minor's welfare.,guardians-wards-act
"Disputes arise between family members over the custody of a minor, and the court is called upon to resolve the matter.",guardians-wards-act
"A guardian's fitness to care for the minor changes, leading to a request for their removal.",guardians-wards-act
"A minor expresses a preference for a different guardian, and the court considers the minor's wishes.",guardians-wards-act
A guardian is found to be neglecting the welfare and education of the minor.,guardians-wards-act
A guardian is appointed to manage and protect the minor's property and inheritance.,guardians-wards-act
A dispute arises between the guardian and other family members regarding the minor's inheritance.,guardians-wards-act
"A minor is arrested for an alleged criminal offense, and the Act's provisions regarding the treatment of children in conflict with the law are applied.",guardians-wards-act
"A child is involved in delinquent behavior, and the Act's rehabilitative measures are utilized.",guardians-wards-act
"A juvenile is facing a criminal trial, and the Act's provisions for special procedures for juvenile trials are implemented.",juvenile-justice-act
"A minor offender is provided with rehabilitation through alternative measures, such as counseling or community service.",juvenile-justice-act
A juvenile offender is placed in a reformation home to address their behavioral issues.,juvenile-justice-act
A child awaiting trial is placed in an observation home while their case is pending.,juvenile-justice-act
"A minor is released on bail, and the Act's provisions ensure their protection and well-being while on bail.",juvenile-justice-act
"The Act is used to facilitate restorative justice for child offenders, involving the victim and the child in the process.",juvenile-justice-act
The juvenile's records are expunged as per the Act's provisions to allow them a fresh start after reaching adulthood.,juvenile-justice-act
A juvenile offender with mental health issues is provided with appropriate care and treatment.,juvenile-justice-act
The Act is used to address the unique circumstances of juveniles involved in conflict situations.,juvenile-justice-act
An abandoned child is placed in a child care institution under the Act.,juvenile-justice-act
A child who is a victim of trafficking is provided care and protection under the Act.,juvenile-justice-act
A child involved in begging is rescued and provided with care and protection.,juvenile-justice-act
A child in need of adoption is placed under the Act's provisions for adoption.,juvenile-justice-act
"An orphaned child is provided care, protection, and support under the Act.",juvenile-justice-act
A child with disabilities is placed in a specialized institution or care facility.,juvenile-justice-act
A child facing abuse or neglect at home is removed and placed in a shelter home.,juvenile-justice-act
A child with substance abuse issues is provided rehabilitation and counseling services.,juvenile-justice-act
A child who has run away from home or gone missing is located and provided with care and protection.,juvenile-justice-act
 A child in need of medical care or surgery is provided with appropriate treatment under the Act.,juvenile-justice-act
"A person executes a will, specifying how their property should be distributed after their death.",indian-succession-act
"Disputes arise concerning the validity of a will, its execution, or authenticity.",indian-succession-act
The executor of a will applies for a probate (court-issued certificate) to establish the validity of the will.,indian-succession-act
"Disputes arise over the appointment, powers, or actions of the executor of a will.",indian-succession-act
"A will contains a specific bequest, and there are disputes over the transfer of that property.",indian-succession-act
Questions about the testator's mental capacity at the time of making the will arise.,indian-succession-act
"A minor is named as a beneficiary in a will, and provisions for the minor's welfare are needed.",indian-succession-act
A testator revokes or attempts to revoke a previously made will.,indian-succession-act
"A person dies without leaving a will, and the distribution of their property among legal heirs is to be determined.",indian-succession-act
Legal heirs apply for an heirship certificate to establish their right to the deceased's property.,indian-succession-act
Disputes arise among Class I legal heirs regarding the distribution of the deceased's property.,indian-succession-act
Disputes arise among Class II legal heirs regarding the distribution of the deceased's property.,indian-succession-act
"Succession among members of a Hindu joint family, including the partition of joint family property.",indian-succession-act
An adopted child's right to inherit from their adoptive family is in question.,indian-succession-act
